#3,Observation,Not an observation,mech/seal leaking pump #3 mini
failure,Observation,Breakdown,"hose failure s/e chamber   possible pump or motor failure   replace mech seal failure   dpr 3 telemetry failure   replace pump - bearing failure   brg failure iminent-change ou   level balls failure   gland plate and packing failure   investigate,inspect impellor failure   cm bearing failure rplce pump   mech seal failure on pump   pump failure - inspect / repair   bore 7 will not start at dcs com failure   env pump seal failure spill to ground   mech seal failure   coupling failure   failure   coupling failure on pump   diaphram failure alarm   drive end bearing failure   rca pump repetitive failures   suspect bearing failure   gland packing failure pump   rear drive bearing failure   investigate failure issue on pump   drive failure   hose and door failure"
failure.(,Observation,Breakdown,$ motor bearing failure.( seized)
fall off,Observation,Minor in-service problems,rain cover fall off the motor sump pu
fallen off,Observation,Minor in-service problems,repair junction box as it has fallen off   pressure sw fallen off instru
fallen out,Observation,Minor in-service problems,gland packing fallen out
FALSE,Observation,Not an observation,false level transmitter reading   false low level holding out motor start
false high level,Observation,Abnormal instrument reading,haz false high level & faulty float
false reading,Observation,Abnormal instrument reading,fc 04008 from instru false reading
falure,Observation,Breakdown,mech seal falure
faul,Observation,Electrical,pa 02754g pressure switch faul   $g2g-2b feluwa g/box low oil sensor faul
fault,Observation,Electrical,fault finding to allow pump to start   dpr 4 mains power fault   fault find motor management relay sce   fault find electrical - replace vsd   effluent motor de bearing fault   pressure indication fault   jdi proximity switch zc 02708g fault   fault find sump pump bearings   jdi instru to claves pressure fault   hight trip fault electrical   fault find pumping issue   fault find instru not starting   inspect compressor for faults   investigate / repair assymetry fault.   scope repairs to door hinge on mcc fault   cm replace motor due bearing fault   fault reading white out on pump   fault find electrical not starting   check vsd fault   electrical fault.   fault find why pump wont start   pump tripping - vsd fault   dcs fault with start permissive   fault find gearbox oil level switch   gearbox oil alarm fault   vsd fault   power fault please investigate   haz therm electrical repair fault in mcc   fault find pump not operational   vsd tripping on sce overload fault   comms fault   pressure switch fault on sce   dc haz pump thermography fault rsh wr   $ versicol pump speed fault   fault find pump amp issues   investigate repair motor fault   jacketed heater fault   fault find glycol probes - a feluwa any   north west chamber fault   $$ fault find pump high amps   investigate dcs fault -   cm-coupling fault - investigate   fault find on   4-20 ma loop fault 38t day
fault finding,Observation,Electrical,anti scalant pump fault finding.
fault tripping,Observation,Electrical,pump has electrical fault tripping
fault?,Observation,Electrical,level sensor fault?
faulted,Observation,Electrical,discharge flow meter faulted (fi 32060)   pump motor faulted
faulting,Observation,Electrical,drive faulting
faulty,Observation,Electrical,repair faulty versicol pump   discharge flow meter faulty (fi32060)   faulty float switch   jdi faulty pressure gauge   replace faulty rv#1050 on discharge   effluent pump faulty   $ pump replace faulty vsd   pressure switch still faulty   tla replace faulty vsd   float switches on pump faulty.   haz false high level & faulty float   steam trap & drain faulty   change out float valve is faulty   discharge gauge and valve is faulty   float faulty   faulty flow meter pump   level transmitter faulty   faulty oil contamination sensor   electrical vsd faulty   ph probes faulty   replace faulty flow switch.   jdi sce pressure gauge faulty   discharge gauge is faulty   pressure switch faulty   discharge gasket pump seal faulty   jdi pump ammeter faulty   repair faulty red run light sce   repair faulty white phase light   tapping water pressure guage faulty   level sencor faulty   isolation valves faulty   gauge is faulty   faulty gauge on pump   level pump start float faulty   haz sample point faulty   west leach sump level probes faulty   ph meter faulty at the wtp.   dc haz-winch on faulty   haz sump low level faulty   faulty pressure gauge   switch faulty tripping pump   faulty control card in substation   faulty level sensor   e-stop faulty   replace faulty flow meter   replace faulty mcc el relay   pump impellers faulty   level indicator faulty   faulty flowmeter 05361   faulty clave levels   discharge gauge faulty   faulty discharge gauge
faulty earth,Observation,Electrical,haz faulty earth leakage electrical
feedback,Observation,Electrical,electrical current feedback in whiteout
fell apart,Observation,Minor in-service problems,drive shift fell apart
fell of,Observation,Minor in-service problems,coupling fell of pump
feral,Observation,Not an observation,haz feral kittens in sump
filled,Observation,Leaking,haz junction box filled with water
find,Observation,Not an observation,$$dpr8 - investigate and fault find comm   $$investigate comms error and fault find
find/repair,Observation,Not an observation,elect. fault find/repair.
fire,Observation,Other,haz -pump barrel caught fire
flickering anytime,Observation,Erratic output,ready light flickering anytime
flooding,Observation,Leaking,haz-floor flooding
flow,Observation,Not an observation,"c feluwa flow / vortex descrepancy   pump flow restricted   pump performance. no flow   22g -8a, b tripping low flow"
flow issue,Observation,Plugged / choked,investigate flow issue
flow on,Observation,Not an observation,investigate flow on
flow/amp,Observation,Not an observation,pump flow/amps erratic
fluctuates at high rate,Observation,Erratic output,pump fluctuates at high rates
flush,Observation,Not an observation,flush feed flow metre.
foot- high,Observation,Not an observation,cm-d2g62a- motor soft foot- high vibs
fried,Observation,Breakdown,haz - offspec motor fried
from,Observation,Not an observation,s/w chamber leaking rfl from prob   haz_ acid leaking from suction line
garflex,Observation,Not an observation,maint: leaking garflex coupling
getting jammed,Observation,Plugged / choked,pump getting jammed possible blown hose
giving false reading,Observation,Abnormal instrument reading,ci level sensor giving false readings
glycol,Observation,Not an observation,"pump requires new hose, losing glycol"
gone,Observation,Minor in-service problems,seal gone on electrical motor   belts gone on motor   urgent level control balls gone   19a very noisy pump end bearings gone   belts gone
"gone to earth,",Observation,Electrical,"$ pump gone to earth, please repair"
got right size,Observation,Not an observation,inspect impeller got right size   inspect impeller has got right size.
grinding,Observation,Noise,sump pump noisy & grinding.
guardin,Observation,Not an observation,haz and b motor guardin
guarding crack,Observation,Not an observation,belt drive guarding cracks
ha,Observation,Not an observation,$$ discharge pipe has a cracked fla
ha compliance,Observation,Not an observation,msd ha compliance
handle,Observation,Not an observation,haz: valves missing handles
handrail,Observation,Not an observation,sump pump. loose handrail.
hanging,Observation,Other,haz motor terminal box hanging by wires
hard,Observation,Not an observation,hard piping for mixsul larox pump
hard to close,Observation,Other,cub knife gate hard to close
has a hole on,Observation,Structural deficiency,seal water pipe has a hole on
has a split in,Observation,Structural deficiency,discharge hose has a split in it
has crack,Observation,Structural deficiency,motor foot has crack
has failed,Observation,Breakdown,bearing barrel has failed
has high earth resistance,Observation,Electrical,haz electrical has high earth resistance
has no equipment earth,Observation,Electrical,haz pump has no equipment earth
has split,Observation,Structural deficiency,replace rubber discharge boot has split
have smoked up,Observation,Overheating,belts have smoked up and perished
healthy,Observation,Other,"pump tripping ,becomes healthy"
heavily co,Observation,Not an observation,dc rsh dc motor heavily co
heavy,Observation,Not an observation,heavy corroded pump
heavy corrosion,Observation,Structural deficiency,heavy corrosion to pump   replace motor due to heavy corrosion
hig,Observation,Not an observation,materials mechanical seal water temp hig
high,Observation,Other,a/b tripping on high amps
high amp,Observation,Abnormal instrument reading,maint: sce pulling high amps
high earth reading,Observation,Abnormal instrument reading,investigate high earth reading
high earth resistance,Observation,Abnormal instrument reading,haz electrical high earth resistance   repair sce high earth resistance   investigate motor high earth resistance   haz pump high earth resistance   high earth resistance
high vibration,Observation,Vibration,pump high vibration   osr pump high vibrations on pump   cm-d2g1b high vibrations on 16.09.2014   cm-d2g1b high vibrations after cub   cm-d2g1a high vibrations on 16.09.2014   cm pump high vibration
hold down,Observation,Not an observation,cm tightn motor hold down bolts   haz-h2g-73 red sump pump hold down bolts   slot hold down bolt holes   slot motor hold down bolt holes
holding pressure,Observation,Not an observation,$5g15b noisy and not holding pressure
hole,Observation,Structural deficiency,"pin hole in the discharge pipe   hole in suction line of pump   sce hole in discharge spool   repair hole in casing   pump pin hole in ball valve   piping pin hole in discharge spool   hole in discharge pipe at flange weld   wld slot motor holes and fix jacking tab   slot hold down bolt holes   jdi haz hole in motor guard   hole in suction spool   discharge spool has a hole.   hole in suction under s/west chamber   $$ pump pin hole in discharge line   hole in pump bowl   hole in guard   haz wld hole in corroded belt gaurd   haz pump hole in fan cowling (rsh)   haz hole in motor fan cowling   wld hole in discharge spool   pin hole leak - discharge drain   sce hole in suction spool   hole in bag blowing floc around shed   hole in pipe feed pump -k2t 6 larox   hole on pump houseing   small hole in spool on booster pump dis   repair hole in discharge line   slot holes under motor & replace pump   mo wld hole in suction nozzle on hopper   hole in weld   hole in tapping water line   hole in impellar casing   hole in 1"" condensate line   env hole in discharge line   small hole discharge pipework b laro   hole in suction line   please repair hole in discharge line   wld scope pin hole in discharge pipe   haz hole in fan cowling motor   hole in pump housing   cub hole in vent line 413937934   hole in suction t piece   haz hole in drain valve sce body   hole in casing replace pump   hole in weld on suction.   hole in weld seam on b felewa   haz motor cowling large hole in it motor   slot motor hold down bolt holes   hole in volute   haz hole in motor fan cover s.j   hole in floor from acc removal pump   slot motor feet holes and repair tab   slot out motor mount holes in pump base"
hole in,Observation,Structural deficiency,pump has hole in housing
hole in suction,Observation,Structural deficiency,disch pump hole in suction 21.01
holed,Observation,Structural deficiency,$$ holed suction garflex on pump   discharge garflex holed.   suction pipework holed   discharge pipe holed replace pump   holed suction line on   holed bredel hose.   haz holed discharge line   manifold flange is damaged and holed   repair holed diaphram   holed discharge line needs repairing   holed garflex coupling on suction   garlex coupling holed   haz fan cowl holed replace   breedle hose holed   32g 1a discharge elbow holed   priority anytime replace holed inst tubi   pump casing holed rebuild required   holed discharge spool   holed bredal hose   suction garflex holed pump   pump housing holed   suction garflex holed   bredal hose holed   bredel hose holed   sce pipework holed   holed steam jacketed line/valve   pump casing holed   repair holed discharge line   bc wld discharge to holed repl   piping pipework holed   holed discharge pipework   discharge spool holed   mill 1 holed spool   w repair motor fan cowl holed   holed elbow east side suction manifold   hopper flow diverter holed   fix holed motor fan cowling   holed bredel hose   holed suction & discharge spool   wld scope suction spool holed   a feluwa north suction spool holed   holed rubber lining   mill 2 discharge flow diverter holed   change holed bredel hose.   bridal hose holed   holed air instrument line   spool holed   suction spool after accum holed   haz pump cowling holed   replace tech taylor valve holed   inlet hose holed.   gland water line holed   holed breedle hose   discharge valve holed (s-0725)   discharge pipework holed   left chamber spool pieace holed   dc motor cover holed   wld repairs to holed product line   check and repair holed diaphram   discharge spool holed and valve leaking   pump casing is holed.   haz welding holed in manifold   haz piping condy pump disch spool holed   haz holed electric motor fan cover   replace holed suction spool   holed volute   haz - discharge line holed pump   holed suction valve   holed drain line   pump bredal hose holed   east suction spool holed.   holed garflex piping   suspected holed diaphragm   replace holed fan cowl   discharge poly line holed replace   discharge valve holed   wld pipe work holed above piping   wld repair suction removable elbow holed   holed pump housing pump   wld repair holed in drain line   reduction sump pump pipe holed...   haz sce 4 way suct spool holed   weir holed discharge spool   rebuild holed wet end.
"holed,",Observation,Structural deficiency,"motor fan cowl holed, replace"
holed/inspect,Observation,Structural deficiency,pump casing holed/inspect wet end
"holes,repair",Observation,Structural deficiency,"wld slot motor base holes,repair jack bo"
hopper full,Observation,Minor in-service problems,"hopper full of debris ,pump bogged"
hose,Observation,Not an observation,$blown hose & bladder s/w chamber
hot,Observation,Overheating,pump triped on high amps motor hot   hot joint - pump   repair hot joint w phase electrical   hot joints - pump mcc   check hot cables out of mcb   electrical potential hot joint   repair hot joint pump   pump hot white phase.   haz hot liquor sparaying from gland   check red phase hot joint.   repair hot joint i to ma converter   thermography - pump hot joints   check hot joint - pump   pump blue phase hot   hot joint - pump red phase (rsh rs   hot connection - pump   hot joint on   pump earth cable to ct hot   motor hot   bc w phase hot mcb-contactor   repair hot joint on white phase
hot joint,Observation,Overheating,haz electrical mcc hot joint
hot joint..furn,Observation,Overheating,repair pump red phase hot joint..furn 1
hot liquid,Observation,Overheating,haz gasket spraying hot liquid
hot thermography,Observation,Overheating,pump red phase hot thermography
hunting,Observation,Not an observation,dilution product valve flow hunting
in,Observation,Not an observation,$$$hole in pump casing   pump. crack in ss line needs weld   $$mill 1 hole in techtaylor   maint: leak in discharge line.   cub proj eto piping tie ins   haz -38tk - leak in pipe above sce   haz- large holes in fan cowling   haz- oil spill in mvr room   maint: leak in tubing on pump   cub prjcts vsd replacement tie ins   mj cub prjcts vsd replacement tie ins   maint: pump leak in casing   maint: leak in discharge drain pipe
in use,Observation,Not an observation,confirm if ft's are still in use
inconsistant flow,Observation,Plugged / choked,pump has inconsistant flow
incorrect,Observation,Other,incorrect loop number in vsd   incorrect run light   haz incorrect circuit breaker in mcc   incorrect drive pulley size   incorrect seal water supply used   incorrect pressure gauge
incorrect orientation,Observation,Minor in-service problems,strianer incorrect orientation
increased,Observation,Other,cm increased noise level noticed   cm increased vib. levels
indicate,Observation,Not an observation,flow meter indicates intermitantly
indirect,Observation,Not an observation,indirect sce fit metal breather pump
inefficiant,Observation,Plugged / choked,pumping at high out put inefficiant a
inefficient,Observation,Plugged / choked,res pump inefficient flow   imspect wet end pump inefficient
inernally,Observation,Not an observation,$cub replace seal is leaking inernally
into,Observation,Not an observation,maint: pump leaking into seal water   r/v passing acid into sump   $$flush valve passing into cone   haz- saunders valve leaking into bonnet
into oil,Observation,Not an observation,rv's relaeasing into oil reservior
is not,Observation,Not an observation,motor is turning but punp is not
issue,Observation,Other,investigate pump issues sce   - motor pulley issue   pump performance issues   $$ remove and investigate pump issues 5g   investigate pump issues   a felewa vsd issues   south east camber leaking bolt issues   possible level switch issue   $ sce & 6b pumping issues   repair pumping issues   investigate cavitation issues   run issues with electrical   fault find pump amp issues   nash pump dcs issues   pumping issues   - investigate pump issues -   pump bearing drive issues   investigate/repair low flow issue   auto issues   inspect and repair pumping issues   flowmeter issues   investigate pump issue   electrical issues
jacketed,Observation,Not an observation,holed steam jacketed line/valve
jammed,Observation,Plugged / choked,pump jammed   pump jammed / bogged. trips out   pump is jammed.   piping suction block valve jammed   pump jammed.   haz - discharge valve jammed   pump jammed bredel   $ inspect and repair pump jammed.
jammed closed,Observation,Plugged / choked,auto recycle valve jammed closed
jammed in place,Observation,Plugged / choked,strainer valve jammed in place.
jammed open,Observation,Plugged / choked,please delete suction valve jammed open
jammed/seized,Observation,Plugged / choked,pump jammed/seized   shaft jammed/seized on pump
keep,Observation,Not an observation,1 pump keeps tripping in sub
keeps kicking in,Observation,Failure to stop on demand,keeps kicking in when in auto.
keeps on,Observation,Not an observation,jdi inspect pump as it keeps on stopp
keeps on tripping,Observation,Electrical,keeps on tripping   pump keeps on tripping   pump keeps on tripping on overload
keeps triping,Observation,Electrical,jdi keeps triping when in seq
keeps tripping,Observation,Electrical,motor keeps tripping   investigate pump keeps tripping ou   7a keeps tripping   pump keeps tripping on o/l (45 amps)   keeps tripping   pump keeps tripping
keeps tripping at start,Observation,Electrical,event vsd keeps tripping at start
keeps tripping on start up,Observation,Electrical,pump keeps tripping on start up
keeps tripping out,Observation,Electrical,motor keeps tripping out   keeps tripping out   pump keeps tripping out (rsh)
keeps vibrating shut,Observation,Vibration,cub sce keeps vibrating shut
kept on,Observation,Not an observation,pump kept on tripping
kidney,Observation,Not an observation,kidney loop gearbox oil pump   kidney loop the gearbox oil pump   cm-clean oil with kidney loop pump   cm-clean oil with kidney loop filter
knocking,Observation,Noise,investigate and repair gearbox knocking   investigate pump knocking
labouring,Observation,Not an observation,pump labouring and viberating
lagging,Observation,Low output,pump redesign lagging.
large amount,Observation,Not an observation,using a large amount of oil.
laying,Observation,Not an observation,ind cub gland water line laying on walkw
